Day,Day post_inf,RFP 1,RFP 2,RFP 3,RFP 4,Hybrid1,Hybrid 2,Hybrid 3,Hybrid 4,Perm1,Perm2,Perm3,Perm4,Ctrl_RFP1,Ctrl_RFP2,Ctrl_RFP3,Ctrl_RFP4,Ctrl_Hyb1,Ctrl_Hyb2,Ctrl_Hyb3,Ctrl_Hyb4,Ctrl_Perm1,Ctrl_Perm2,Ctrl_Perm3,Ctrl_Perm4,Species
11,2 days,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
11.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
12,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
12.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
13,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
13.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,An.gambiae s.s.
14,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,An.gambiae s.s.
Alive,2 days,2,0,0,0,0,0,0,0,23,19,20,20,1,2,0,0,0,0,0,0,25,24,26,25,An.gambiae s.s.
0,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
0.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
1,2 days,26,27,28,30,26,30,30,28,26,29,28,29,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
1.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,0,0,0,0,An.kisumu
2,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,An.kisumu
2.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,3,0,0,0,0,An.kisumu
3,2 days,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,6,3,1,0,0,0,0,An.kisumu
3.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,2,0,0,0,0,An.kisumu
4,2 days,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,0,5,3,0,0,0,0,An.kisumu
4.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,4,4,6,5,0,0,0,0,An.kisumu
